id,created_at,text,,
6.26166E+17,28-07-2015 23:03,@Elguapo_69 I just loved the game watching it on tv and my mom got me a lil tykes hoop! It's was on from there on,,
6.26166E+17,28-07-2015 23:01,@YrNGiovanni @RealTristan13 Yeah of course he will. Means way too much to our team success!,,
6.26165E+17,28-07-2015 23:00,And we're off,,
6.26164E+17,28-07-2015 22:55,Less than 5 mins away people. Q&amp;A,,
6.26151E+17,28-07-2015 22:04,"My fans today is the day, I'll be doing ""ask me anything"" Q&amp;A at 7pmEst for 15-30 mins. I've missed y'all. Talk soon #StriveForGreatness",,
6.25553E+17,27-07-2015 06:27,RT @Cnothing2lose: #Trainwreck was unforgettable and @KingJames was amazing #StriveForGreatness,,
6.25553E+17,27-07-2015 06:27,RT @mhill82_LBJ: @KingJames this is my daughter MaTayha she was born the same day your daughter was born. 10/2214... #TeamJames http://t.coâ€¦,,
6.25548E+17,27-07-2015 06:06,RT @HarperFentri: Every time I watch More Than A Game I get inspired and Wanna push my self more .. @KingJames,,
6.25547E+17,27-07-2015 06:01,RT @tvbrandi: #Trainwreck was SO good!! @KingJames nailed it &amp; @amyschumer had some killer moves!! Lots of laughs... couple of tears...overâ€¦,,
6.25546E+17,27-07-2015 05:57,"RT @3D_Nia: After watching ""More Than A Game"" I appreciate @KingJames more. He work his whole life and never gave up. That's inspirational â€¦",,
6.25454E+17,26-07-2015 23:54,"My fans haven't done one in awhile so one of these days this coming week we'll do a ""ask me anything"" Q&amp;A.  Stay tuned. #StriveForGreatness",,
6.24636E+17,24-07-2015 17:43,Let's Go folks! Less than a month away @SRemorse_Starz #SurvivorsRemosre #Acomedywithballs Season 2 starts Aug. 22nd http://t.co/a5KWMA6ojg,,
6.2428E+17,23-07-2015 18:09,Before the flex. Lol http://t.co/uCMwvnbU8G,,
6.24279E+17,23-07-2015 18:04,Flex on em then! http://t.co/fzDsgJNzq9,,
6.24066E+17,23-07-2015 03:58,RT @AFuentesArt: He loves his #Flyease shoes for people with disabilities. ..can put them on all by himself thanks @Nike @KingJames http://â€¦,,
6.23974E+17,22-07-2015 21:52,@KristenLedlow LOL! The People's Champ you are huh?,,
